cid,serial,address,Latitude,Longitude,operating_mode,tariff_id,pole_id,meter_phase,apparent_power_avg,current_avg,current_max,current_min,energy,frequency,heartbeat_end,heartbeat_start,power_factor_avg,state,true_power_avg,true_power_inst,uptime_secs,user_power_limit,voltage_avg,voltage_max,voltage_min
5e09426b-2e83-489a-b653-5dd2e5375601,SMRSDRF-02-000880E2,,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,0.0,0.0,0.0,0.0,0.0,50.98999786376953,2025-07-16T07:30:00,2025-07-16T07:15:00,1.0,on,0.0,0.0,81430,1500.0,227.97000122070312,229.0399932861328,0.0
17113c62-c287-4f24-8f2a-94adea2bd697,SMRSDRF-02-000885D8,,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,,,0.0,0.0,0.0,0.0,0.8280000000000001,51.0,2025-07-16T07:15:00,1970-01-01T00:00:00,1.0,on,0.0,0.0,479274,1500.0,231.22999572753906,231.97999572753906,0.0
acb87ab6-8dfc-4f8b-99a4-68745dd96d5c,SMRSDRF-02-00088394,,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,18.0,0.08400000631809235,0.12800000607967377,0.052000001072883606,1.41,51.0,2025-07-16T07:30:00,2025-07-16T07:15:00,0.581000030040741,on,10.0,0.0,426087,1500.0,230.05999755859375,230.92999267578125,0.08400000631809235
f6b0519b-41e3-4c9e-8ad4-ffc9fb424e68,SMRSDRF-02-00088596,,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,0.0,0.0,0.0,0.0,1.256,51.0,2025-07-16T07:30:00,1970-01-01T00:00:00,1.0,on,0.0,0.0,426086,1500.0,231.26998901367188,232.08999633789062,0.0
aaadd517-231e-426b-b36b-121f2b0d42ec,SMRSDRF-02-00087EEE,,,,auto,81ec6fa4-ad87-4f3e-b1c5-0fcb607319c0,,,14.0,0.06800000369548798,0.07000000029802322,0.06800000369548798,5.305,51.0,2025-07-16T07:30:00,1970-01-01T00:00:00,0.7020000219345093,on,10.0,0.0,480174,13000.0,227.8699951171875,228.54998779296875,0.06800000369548798
25859f4b-8624-4a3e-9112-5c2cf7a615ba,SMRSDRF-02-00088247,,,,auto,77555148-67e8-4e04-85af-6741e6b0754d,,,0.0,0.0,0.0,0.0,0.262,51.0,2025-07-16T07:30:00,1970-01-01T00:00:00,1.0,on,0.0,0.0,480176,1500.0,226.94000244140625,227.8300018310547,0.0
e6319d99-4957-4568-82b2-e4e5c90cb182,SMRSDRF-02-00088385,,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,0.0,0.0,0.0,0.0,7.21,50.98999786376953,2025-07-16T07:30:00,2025-07-16T07:15:00,1.0,on,0.0,0.0,426087,1500.0,230.54998779296875,231.25,0.0
c82155d0-f935-47b4-9750-5618d88185ef,SMRSDRF-02-0008838A,,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,0.0,0.0,0.0,0.0,2.082,49.55999755859375,2025-07-16T05:45:00,1970-01-01T00:00:00,1.0,on,0.0,0.0,419786,1500.0,230.86000061035156,231.34999084472656,0.0
9dda86fb-2b60-4b9a-b6c3-fe32f0dbf174,SMRSDRF-02-00088217,,,,auto,77555148-67e8-4e04-85af-6741e6b0754d,,,190.0,0.8340000510215759,0.8440000414848328,0.8240000605583191,17.656,50.98999786376953,2025-07-16T07:30:00,1970-01-01T00:00:00,0.6020000576972961,on,114.0,0.0,480175,1500.0,228.92999267578125,230.01998901367188,0.8340000510215759
117c2ed8-5d93-498d-a539-28c6fb3d6ebf,SMRSDRF-02-0008837E,,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,,,0.0,0.0,0.0,0.0,0.669,50.98999786376953,2025-07-16T07:30:00,2025-07-16T07:15:00,1.0,on,0.0,0.0,480175,1500.0,230.3699951171875,230.95999145507812,0.0
e0e1427a-d62b-4dcc-ba7f-3eb5b0754c0d,SMRSDRF-02-00088218,,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,,,10.0,0.05400000140070915,0.11800000816583633,0.0,0.9440000000000001,51.0,2025-07-16T07:15:00,1970-01-01T00:00:00,0.6530000567436218,on,6.0,0.0,479276,1500.0,230.9099884033203,231.72000122070312,0.05400000140070915
f9e7e594-f739-4313-a2be-5eebffcd5ea7,SMRSDRF-02-00088241,,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,,,0.0,0.0,0.01600000075995922,0.0,6.307,50.98999786376953,2025-07-16T07:30:00,1970-01-01T00:00:00,1.0,on,0.0,0.0,480176,1500.0,230.22000122070312,231.5699920654297,0.0
9a087e82-543b-491d-870c-f7e3530e2f1d,SMRSDRF-02-0008837B,,,,auto,77555148-67e8-4e04-85af-6741e6b0754d,,,0.0,0.0,0.0,0.0,0.439,50.98999786376953,2025-07-16T07:30:00,1970-01-01T00:00:00,1.0,on,0.0,0.0,480175,1500.0,231.2899932861328,231.77999877929688,0.0
9f7a2b4f-97a3-41a3-9b2a-4f65fa0983c2,SMRSDRF-02-00088388,,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,0.0,0.0,0.0,0.0,4.699,51.0,2025-07-16T07:15:00,1970-01-01T00:00:00,1.0,on,0.0,0.0,2251436,1500.0,227.6999969482422,228.63999938964844,0.0
8d88c978-2504-4e1c-ab3b-db79ecc17e9c,SMRSDRF-02-00088378,,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,302.0,1.3220000267028809,1.3480000495910645,1.3020000457763672,17.906,51.0,2025-07-16T07:30:00,2025-07-16T07:15:00,0.6030000448226929,on,182.0,0.0,426087,1500.0,229.4499969482422,230.0699920654297,1.3220000267028809
