,m_address,m_coordinates,m_operating_mode,m_tariff_id,m_pole_id,m_meter_phase,m_id,m_serial,m_tariff.name,m_tariff.electricity_rate_type,m_tariff.block_rate,m_tariff.rate_amount.value,m_tariff.rate_amount.numerator,m_tariff.rate_amount.denominator,m_tariff.time_of_use,m_tariff.load_limit_type,m_tariff.load_limit.value,m_tariff.load_limit.unit,m_tariff.plan_type,m_tariff.low_balance_threshold.amount,m_tariff.low_balance_threshold.currency,m_tariff.inrush_current_protection_disabled,m_tariff.block_rate_cycle_reset_energy,m_tariff.last_block_rate_cycle_reset_at,m_tariff.daily_energy_limit,m_tariff.daily_energy_limit_unit,id
0,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,5cace9f7-a188-4137-bef8-df456a65a26a,SMRSDRF-02-000880E2,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,5e09426b-2e83-489a-b653-5dd2e5375601
1,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,,,21d59418-3eb8-4e92-8908-0e69e3fe7190,SMRSDRF-02-000885D8,Basic HH Tariff_Zone 3,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,17113c62-c287-4f24-8f2a-94adea2bd697
2,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,77f6027d-8bd8-4836-b6cd-b918c6f5a3b4,SMRSDRF-02-00088394,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,acb87ab6-8dfc-4f8b-99a4-68745dd96d5c
3,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,ce6072a5-90ed-4c1f-81ac-b89b52e64f35,SMRSDRF-02-00088596,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,f6b0519b-41e3-4c9e-8ad4-ffc9fb424e68
4,,,auto,81ec6fa4-ad87-4f3e-b1c5-0fcb607319c0,,,b8bc89d6-7f76-4794-9d2d-33156a3790ac,SMRSDRF-02-00087EEE,Small Business Tariff_Zone 2,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",flat,13000,Watts,,0,ETB,False,,,,kWh,aaadd517-231e-426b-b36b-121f2b0d42ec
5,,,auto,77555148-67e8-4e04-85af-6741e6b0754d,,,d176caf1-6877-4aaa-a99d-87a09edf7ec0,SMRSDRF-02-00088247,Basic HH Tariff_Zone 2,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,25859f4b-8624-4a3e-9112-5c2cf7a615ba
6,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,7a158e6c-0408-456e-96da-3badd454c088,SMRSDRF-02-00088385,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,e6319d99-4957-4568-82b2-e4e5c90cb182
7,,,auto,0f0cc57f-8a31-4f5e-bbbd-ecf7c5f79201,,,c56846a4-0e7e-480e-a5c5-234420b0929b,SMRSDRF-02-0008838A,Basic HH Tariff_Zone 1,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,c82155d0-f935-47b4-9750-5618d88185ef
8,,,auto,77555148-67e8-4e04-85af-6741e6b0754d,,,b619f2e9-5ac8-41a2-930b-47a7935863f3,SMRSDRF-02-00088217,Basic HH Tariff_Zone 2,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,9dda86fb-2b60-4b9a-b6c3-fe32f0dbf174
9,,,auto,439df054-f98d-4132-98cc-d9503b59fe13,,,a7e266ac-b82a-4ff2-9715-0f28ffc4f1d7,SMRSDRF-02-0008837E,Basic HH Tariff_Zone 3,flat_rate,,19.0000,ETB,kWh,"[{'start_time': '06:00', 'modifier': '100.0'}, {'start_time': '18:00', 'modifier': '127.0'}]",scheduled,"[{'start_time': '07:00', 'load_limit': 1500}, {'start_time': '21:00', 'load_limit': 2000}]",Watts,,0,ETB,False,,,,kWh,117c2ed8-5d93-498d-a539-28c6fb3d6ebf
